Id,Title,Synopsis,Overview,ResourceID,Adding Resources
101,LuVEnglish - Bring Your Toothbrush 2 - Ep 10,"What is it like staying at a stranger's house for a night?  What is it like learning another language in a day?  You don't have anything with you except your toothbrush, who can you turn to? Bring Your ToothBrush is an info-ed series featuring children age 8-14 exchanging homes.  Each episode, 2 candidates who are total strangers will be selected to stay over at each other's home.  They will be of a different race, religion and culture or even gender.  The child will have to do a few tasks such as learning how to cook a traditional dish, mastering some basic mother tongue or learn a skill from one of the family members such as gardening or buying basic groceries.  There will also be some planted situations to see how these kids react.  The sleepover experience will be quite an adventure for the kids and they will arrive home with a new load of experience and maybe new skills. This series is hosted by Mariel Reyes and Chua Enlai.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex01,
102,LuVEnglish - Bring Your Toothbrush 2 - Ep 5,"What is it like staying at a stranger's house for a night?  What is it like learning another language in a day?  You don't have anything with you except your toothbrush, who can you turn to? Bring Your ToothBrush is an info-ed series featuring children age 8-14 exchanging homes.  Each episode, 2 candidates who are total strangers will be selected to stay over at each other's home.  They will be of a different race, religion and culture or even gender.  The child will have to do a few tasks such as learning how to cook a traditional dish, mastering some basic mother tongue or learn a skill from one of the family members such as gardening or buying basic groceries.  There will also be some planted situations to see how these kids react.  The sleepover experience will be quite an adventure for the kids and they will arrive home with a new load of experience and maybe new skills. This series is hosted by Mariel Reyes and Chua Enlai.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex02,
103,LuVEnglish - School House Rockz - Ep 3,"Inka Seah comes from a well to do family and studies in an expensive independent, single sex primary school.  Her life experiences have been of the rich and privileged and her friends only served to enhance this elitist mentality. Inka received her PSLE results which were average at best, with scores of Bs and Cs.  She did not study hard for her exams as she expected to gain easy entry into her affiliated secondary school. Unfortunately, her grades did not even scratch the passing mark for affiliated students and she was assigned to Eastwood Secondary instead.  Having always made fun of students who attend government funded schools, Inka could not bear the thought of attending one herself.  She pleaded with her father, Mr Seah, to arrange a transfer to a non government funded school, but was told to live with the consequences of her own actions.  Mr Seah’s intention is to take her arrogance down a notch and hope that she will learn to be less superficial and materialistic.  Undeterred, Inka plots to get herself transferred out of Eastwood Secondary. Each week begins with her “ingenious” schemes to convince her father that Eastwood Secondary is detrimental to her.  Most of her schemes succeed only in getting her into more trouble, but not transferred.  As she comes up with scheme after scheme to get out of Eastwood Secondary, she finds herself being drawn into the lives of her fellow students at the same time.  As new friendships form, Inka finds herself at crossroads… does she really want to leave Eastwood Secondary?","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex03,
104,LuVEnglish - The Tales of Alex and Weero - Ep 3,"The Tales of Alex & Weero is a fun take on learning & finding out more about the history of Singapore. Alex is a boy who loves everything about school except history lessons.  One day, Alex is given a family heirloom, a history scrapbook which belonged to his father and his father’s father.  To his amazement, inside this history scrapbook, Alex finds a time-traveller called Weero. Along with Weero, Alex travels into Singapore’s past but unfortunately Weero somehow always makes a mess of history and Alex has no choice but to go back into the past and salvage history from what he knows and learns in the present.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex04,
105,LuVEnglish - Dish with Vivien - Ep 1,"Vivien has been invited out by her lad friends, but she is concerned for their health – eating out the whole time and not eating the best food.  So she invites them over for a tasty and healthy alternative: homemade burgers.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex05,
106,LuVEnglish - Zoo TV - Ep 8,"The serious showcases Singapore Zoo and its animals, with each episode focusing on a specific genre, i.e. predators.  The series looks at the different species of predators in the zoo, shares interesting information about specific animals and highlights endangered species.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex06,
107,LuVEnglish - Lose to Win - Ep 1,"This is a reality programme which follows selected participants in the ""Lose to win challenge"" organized by the Health Promotion Board (Singapore).  This event has attracted more than 250 workers from various companies and organizations. There are a few components to the programme: Physical Training Boot Camp, Celebrity chefs will demonstrate and also impart healthy cooking tips to viewers, teaches participants to psychologically control the urge to eat, mass exercise, teaches participants to make healthier choices in the supermarkets, answer weight-related questions/myths. 2 young and energetic hosts will follow selected participants and witness how they go through the ""Lose to win challenge"".  We will also take a peep into their lifestyles and eating habits, see what they have achieved from the event and witness how, with perserverance, they can ""lose to win""!","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex07,
108,LuVEnglish - Heartland Getaways 2 - Ep 1,"Want a show that offers you a free ticket into the world of Singapore's own heartlands - with bite? Fast-paced with vibrant links, visuals and sound bites that capture the energy and life of the neighbourhood, nostalgic snapshots and footage to provide historic elements, Heartland Getaways is a colourful magazine show that hits straight to the heart: YOUR heart. Effervescent host Chua Enlai gives the neighbourhoods of Singapore a good sniff and delivers his report on how every one of them is so unique.  Think it is time to get to know about other communities and even learn a thing or two about our own?  It is.  With no stones left unturned, every week, each place will have its best bits and corners unearthed.  Hidden secrets formerly known only to its residents will be revealed. Be prepared to come out of the show a better, more learned person with a formidable knowledge of the quirky history and culture of the suburbs' people, food, shopping and activity.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex08,
109,LuVEnglish - Heartland Getaways 2 - Ep 2,"Want a show that offers you a free ticket into the world of Singapore's own heartlands - with bite? Fast-paced with vibrant links, visuals and sound bites that capture the energy and life of the neighbourhood, nostalgic snapshots and footage to provide historic elements, Heartland Getaways is a colourful magazine show that hits straight to the heart: YOUR heart. Effervescent host Chua Enlai gives the neighbourhoods of Singapore a good sniff and delivers his report on how every one of them is so unique.  Think it is time to get to know about other communities and even learn a thing or two about our own?  It is.  With no stones left unturned, every week, each place will have its best bits and corners unearthed.  Hidden secrets formerly known only to its residents will be revealed. Be prepared to come out of the show a better, more learned person with a formidable knowledge of the quirky history and culture of the suburbs' people, food, shopping and activity.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex09,
110,LuVEnglish  - Heartland Getaways 2 - Ep 9,"Want a show that offers you a free ticket into the world of Singapore's own heartlands - with bite? Fast-paced with vibrant links, visuals and sound bites that capture the energy and life of the neighbourhood, nostalgic snapshots and footage to provide historic elements, Heartland Getaways is a colourful magazine show that hits straight to the heart: YOUR heart. Effervescent host Chua Enlai gives the neighbourhoods of Singapore a good sniff and delivers his report on how every one of them is so unique.  Think it is time to get to know about other communities and even learn a thing or two about our own?  It is.  With no stones left unturned, every week, each place will have its best bits and corners unearthed.  Hidden secrets formerly known only to its residents will be revealed. Be prepared to come out of the show a better, more learned person with a formidable knowledge of the quirky history and culture of the suburbs' people, food, shopping and activity.","LuV English is an innovative multimedia courseware that allows children to learn English language by watching videos produced by MediaCorp. Through LuV English, they can engage in comprehension exercises, discussion, writing and speaking activities around exciting themes such as current affairs, medical science, and performing arts.",LuV_EL_P34T0Ex10,
